sine function;sin;sin()
cosine function;cos;cos()
tangens function;tan;tan()
arcus sine function;asin;asin()
arcus cosine function;acos;acos()
arcus tangens function;atan;atan()
hyperbolic sine function;sinh;sinh()
hyperbolic cosine function;cosh;cosh()
hyperbolic tangens function;tanh;tanh()
hyperbolic arcus sine function;asinh;asinh()
hyperbolic arcus cosine function;acosh;acosh()
hyperbolic arcus tangens function;atanh;atanh()
logarithm to the base 2;log2;log2()
logarithm to the base 10;log10;log10()
logarithm;log;log()
logarithm to the base e (2.71828...);ln;ln()
e raised to the power of x;exp;exp()
square root of value;sqrt;sqrt()
sign function;sign;sign()
rount to the nearest integer;rint;rint()
absolute value;abs;abs()
min of all arguments;min;min(,)
max of all arguments;max;max(,)
sum of all arguments;sum;sum(,)
mean value of all arguments;avg;avg(,)
